Timestamp,Operation,Duration (ms),RAM Delta (MB),Details
2026-07-10 10:39:37.621,"Key Press (Typing)",0.93709,0,"Key_16777237"
2026-07-10 10:39:37.656,"Key Press (Typing)",1.11159,0,"Key_16777237"
2026-07-10 10:39:37.692,"Key Press (Typing)",1.63444,0,"Key_16777237"
2026-07-10 10:39:37.706,"Key Press (Typing)",0.944994,0,"Key_16777237"
2026-07-10 10:39:37.741,"Key Press (Typing)",0.88249,0,"Key_16777237"
2026-07-10 10:39:37.776,"Key Press (Typing)",1.0416,0,"Key_16777237"
2026-07-10 10:39:37.813,"Key Press (Typing)",3.46399,0,"Key_16777237"
2026-07-10 10:39:37.890,"Highlight (Local)",2.10313,0,"Center: 181, radius: 160, range: 21-341"
2026-07-10 10:39:41.839,"Highlight (Local)",3.3816,0,"Center: 438, radius: 160, range: 278-598"
2026-07-10 10:39:42.500,"Highlight (Local)",4.97626,0,"Center: 447, radius: 160, range: 287-607"
2026-07-10 10:39:43.197,"Paint (Slow)",13.2095,0,"Duration: 13.21 ms"
2026-07-10 10:39:43.972,"Highlight (Local)",4.3044,0,"Center: 536, radius: 160, range: 376-696"
2026-07-10 10:39:44.250,"Paint (Slow)",14.7382,0,"Duration: 14.74 ms"
2026-07-10 10:39:45.501,"Paint (Slow)",12.2734,0,"Duration: 12.27 ms"
2026-07-10 10:39:45.567,"Highlight (Local)",3.25666,0,"Center: 609, radius: 160, range: 449-769"
2026-07-10 10:39:46.273,"Highlight (Local)",29.262,0,"Center: 612, radius: 160, range: 452-772"
2026-07-10 10:39:48.041,"Highlight (Local)",5.01114,0,"Center: 697, radius: 160, range: 537-857"
2026-07-10 10:39:55.079,"Paint (Slow)",20.9531,0,"Duration: 20.95 ms"
2026-07-10 10:39:55.551,"Paint (Slow)",15.4975,0,"Duration: 15.50 ms"
2026-07-10 10:39:55.983,"Paint (Slow)",13.3867,0,"Duration: 13.39 ms"
2026-07-10 10:39:57.898,"Highlight (Local)",10.7559,0,"Center: 142526, radius: 160, range: 142366-142686"
2026-07-10 10:39:59.894,"Paint (Slow)",25.1693,0,"Duration: 25.17 ms"
2026-07-10 10:40:01.194,"Highlight (Local)",5.72611,0,"Center: 151624, radius: 160, range: 151464-151638"
2026-07-10 10:40:02.726,"Highlight (Local)",42.5107,0,"Center: 151606, radius: 160, range: 151446-151638"
2026-07-10 10:40:03.869,"Key Press (Typing)",11.4606,0,"Key_16777235"
2026-07-10 10:40:03.945,"Highlight (Local)",5.50865,0,"Center: 151605, radius: 160, range: 151445-151638"
2026-07-10 10:40:04.366,"Key Press (Typing)",7.51519,0,"Key_16777235"
2026-07-10 10:40:04.442,"Key Press (Typing)",0.86374,0,"Key_16777235"
2026-07-10 10:40:04.456,"Key Press (Typing)",1.00028,0,"Key_16777235"
2026-07-10 10:40:04.494,"Key Press (Typing)",1.28244,0,"Key_16777235"
2026-07-10 10:40:04.509,"Key Press (Typing)",1.08569,0,"Key_16777235"
2026-07-10 10:40:04.546,"Key Press (Typing)",1.43014,0,"Key_16777235"
2026-07-10 10:40:04.562,"Key Press (Typing)",1.38037,0,"Key_16777235"
2026-07-10 10:40:04.602,"Key Press (Typing)",3.15775,0,"Key_16777235"
2026-07-10 10:40:04.616,"Key Press (Typing)",0.65653,0,"Key_16777235"
2026-07-10 10:40:04.655,"Key Press (Typing)",4.01942,0,"Key_16777235"
2026-07-10 10:40:04.693,"Key Press (Typing)",1.53697,0,"Key_16777235"
2026-07-10 10:40:04.708,"Key Press (Typing)",0.73416,0,"Key_16777235"
2026-07-10 10:40:04.746,"Key Press (Typing)",1.44114,0,"Key_16777235"
2026-07-10 10:40:04.783,"Key Press (Typing)",1.50642,0,"Key_16777235"
2026-07-10 10:40:04.799,"Key Press (Typing)",1.49079,0,"Key_16777235"
2026-07-10 10:40:04.839,"Key Press (Typing)",1.49127,0,"Key_16777235"
2026-07-10 10:40:04.877,"Key Press (Typing)",1.99707,0,"Key_16777235"
2026-07-10 10:40:04.902,"Key Press (Typing)",2.49147,0,"Key_16777235"
2026-07-10 10:40:04.947,"Key Press (Typing)",2.79458,0,"Key_16777235"
2026-07-10 10:40:04.962,"Key Press (Typing)",0.830101,0,"Key_16777235"
2026-07-10 10:40:05.002,"Key Press (Typing)",3.49086,0,"Key_16777235"
2026-07-10 10:40:05.015,"Key Press (Typing)",0.729556,0,"Key_16777235"
2026-07-10 10:40:05.054,"Key Press (Typing)",3.94577,0,"Key_16777235"
2026-07-10 10:40:05.092,"Key Press (Typing)",3.56129,0,"Key_16777235"
2026-07-10 10:40:05.109,"Key Press (Typing)",0.656783,0,"Key_16777235"
2026-07-10 10:40:05.152,"Key Press (Typing)",3.26778,0,"Key_16777235"
2026-07-10 10:40:05.169,"Key Press (Typing)",2.23809,0,"Key_16777235"
2026-07-10 10:40:05.212,"Key Press (Typing)",1.59578,0,"Key_16777235"
2026-07-10 10:40:05.227,"Key Press (Typing)",0.961818,0,"Key_16777235"
2026-07-10 10:40:05.274,"Key Press (Typing)",1.55923,0,"Key_16777235"
2026-07-10 10:40:05.294,"Key Press (Typing)",1.85719,0,"Key_16777235"
2026-07-10 10:40:05.332,"Key Press (Typing)",1.05488,0,"Key_16777235"
2026-07-10 10:40:05.348,"Key Press (Typing)",1.49815,0,"Key_16777235"
2026-07-10 10:40:05.388,"Key Press (Typing)",1.93739,0,"Key_16777235"
2026-07-10 10:40:05.428,"Key Press (Typing)",3.25997,0,"Key_16777235"
2026-07-10 10:40:05.444,"Key Press (Typing)",0.82841,0,"Key_16777235"
2026-07-10 10:40:05.481,"Key Press (Typing)",0.974047,0,"Key_16777235"
2026-07-10 10:40:05.522,"Key Press (Typing)",2.2389,0,"Key_16777235"
2026-07-10 10:40:05.541,"Key Press (Typing)",0.672153,0,"Key_16777235"
2026-07-10 10:40:05.579,"Key Press (Typing)",1.95805,0,"Key_16777235"
2026-07-10 10:40:05.597,"Key Press (Typing)",1.48265,0,"Key_16777235"
2026-07-10 10:40:05.642,"Key Press (Typing)",3.25853,0,"Key_16777235"
2026-07-10 10:40:05.660,"Key Press (Typing)",1.10167,0,"Key_16777235"
2026-07-10 10:40:05.698,"Key Press (Typing)",1.7473,0,"Key_16777235"
2026-07-10 10:40:05.741,"Key Press (Typing)",2.49319,0,"Key_16777235"
2026-07-10 10:40:05.760,"Key Press (Typing)",1.70381,0,"Key_16777235"
2026-07-10 10:40:05.798,"Key Press (Typing)",2.3473,0,"Key_16777235"
2026-07-10 10:40:05.819,"Key Press (Typing)",2.68948,0,"Key_16777235"
2026-07-10 10:40:05.861,"Key Press (Typing)",1.21979,0,"Key_16777235"
2026-07-10 10:40:05.879,"Key Press (Typing)",1.72193,0,"Key_16777235"
2026-07-10 10:40:05.923,"Key Press (Typing)",3.017,0,"Key_16777235"
2026-07-10 10:40:05.942,"Key Press (Typing)",2.02922,0,"Key_16777235"
2026-07-10 10:40:05.980,"Key Press (Typing)",1.35074,0,"Key_16777235"
2026-07-10 10:40:05.999,"Key Press (Typing)",2.78646,0,"Key_16777235"
2026-07-10 10:40:06.041,"Key Press (Typing)",1.80345,0,"Key_16777235"
2026-07-10 10:40:06.060,"Key Press (Typing)",1.34715,0,"Key_16777235"
2026-07-10 10:40:06.099,"Key Press (Typing)",0.914502,0,"Key_16777235"
2026-07-10 10:40:06.121,"Key Press (Typing)",1.44298,0,"Key_16777235"
2026-07-10 10:40:06.164,"Key Press (Typing)",2.91695,0,"Key_16777235"
2026-07-10 10:40:06.181,"Key Press (Typing)",1.00939,0,"Key_16777235"
2026-07-10 10:40:06.226,"Key Press (Typing)",2.22944,0,"Key_16777235"
2026-07-10 10:40:06.248,"Key Press (Typing)",1.65851,0,"Key_16777235"
2026-07-10 10:40:06.289,"Key Press (Typing)",2.29808,0,"Key_16777235"
2026-07-10 10:40:06.310,"Key Press (Typing)",2.06604,0,"Key_16777235"
2026-07-10 10:40:06.346,"Key Press (Typing)",0.968421,0,"Key_16777235"
2026-07-10 10:40:06.364,"Key Press (Typing)",1.70236,0,"Key_16777235"
2026-07-10 10:40:06.409,"Key Press (Typing)",1.52112,0,"Key_16777235"
2026-07-10 10:40:06.429,"Key Press (Typing)",1.7001,0,"Key_16777235"
2026-07-10 10:40:06.471,"Key Press (Typing)",1.00726,0,"Key_16777235"
2026-07-10 10:40:06.496,"Key Press (Typing)",4.92183,0,"Key_16777235"
2026-07-10 10:40:06.536,"Key Press (Typing)",3.23026,0,"Key_16777235"
2026-07-10 10:40:06.572,"Key Press (Typing)",3.37172,0,"Key_16777235"
2026-07-10 10:40:06.597,"Key Press (Typing)",1.32583,0,"Key_16777235"
2026-07-10 10:40:06.631,"Key Press (Typing)",1.87462,0,"Key_16777235"
2026-07-10 10:40:06.660,"Key Press (Typing)",1.51789,0,"Key_16777235"
2026-07-10 10:40:06.693,"Key Press (Typing)",3.39226,0,"Key_16777235"
2026-07-10 10:40:06.718,"Key Press (Typing)",2.73909,0,"Key_16777235"
2026-07-10 10:40:06.752,"Key Press (Typing)",3.66435,0,"Key_16777235"
2026-07-10 10:40:06.782,"Key Press (Typing)",3.26901,0,"Key_16777235"
2026-07-10 10:40:06.826,"Key Press (Typing)",2.69949,0,"Key_16777235"
2026-07-10 10:40:06.846,"Key Press (Typing)",1.08237,0,"Key_16777235"
2026-07-10 10:40:06.865,"Key Press (Typing)",2.13491,0,"Key_16777235"
2026-07-10 10:40:06.911,"Key Press (Typing)",2.67637,0,"Key_16777235"
2026-07-10 10:40:06.931,"Key Press (Typing)",1.77533,0,"Key_16777235"
2026-07-10 10:40:06.974,"Key Press (Typing)",3.45492,0,"Key_16777235"
2026-07-10 10:40:07.008,"Key Press (Typing)",2.15482,0,"Key_16777235"
2026-07-10 10:40:07.037,"Key Press (Typing)",3.81277,0,"Key_16777235"
2026-07-10 10:40:07.059,"Key Press (Typing)",1.44787,0,"Key_16777235"
2026-07-10 10:40:07.099,"Key Press (Typing)",1.3182,0,"Key_16777235"
2026-07-10 10:40:07.126,"Key Press (Typing)",3.00269,0,"Key_16777235"
2026-07-10 10:40:07.145,"Key Press (Typing)",1.31741,0,"Key_16777235"
2026-07-10 10:40:07.184,"Key Press (Typing)",2.31997,0,"Key_16777235"
2026-07-10 10:40:07.220,"Key Press (Typing)",4.12705,0,"Key_16777235"
2026-07-10 10:40:07.249,"Key Press (Typing)",1.48987,0,"Key_16777235"
2026-07-10 10:40:07.287,"Key Press (Typing)",2.9022,0,"Key_16777235"
2026-07-10 10:40:07.315,"Key Press (Typing)",1.37898,0,"Key_16777235"
2026-07-10 10:40:07.339,"Key Press (Typing)",2.96529,0,"Key_16777235"
2026-07-10 10:40:07.373,"Key Press (Typing)",2.66357,0,"Key_16777235"
2026-07-10 10:40:07.397,"Key Press (Typing)",1.32651,0,"Key_16777235"
2026-07-10 10:40:07.442,"Key Press (Typing)",1.73535,0,"Key_16777235"
2026-07-10 10:40:07.464,"Key Press (Typing)",1.31553,0,"Key_16777235"
2026-07-10 10:40:07.486,"Key Press (Typing)",1.79825,0,"Key_16777235"
2026-07-10 10:40:07.528,"Key Press (Typing)",1.65283,0,"Key_16777235"
2026-07-10 10:40:07.550,"Key Press (Typing)",3.84164,0,"Key_16777235"
2026-07-10 10:40:07.593,"Key Press (Typing)",1.41041,0,"Key_16777235"
2026-07-10 10:40:07.628,"Key Press (Typing)",2.63368,0,"Key_16777235"
2026-07-10 10:40:07.647,"Key Press (Typing)",1.00522,0,"Key_16777235"
2026-07-10 10:40:07.678,"Key Press (Typing)",1.34284,0,"Key_16777235"
2026-07-10 10:40:07.711,"Key Press (Typing)",1.34947,0,"Key_16777235"
2026-07-10 10:40:07.743,"Key Press (Typing)",2.389,0,"Key_16777235"
2026-07-10 10:40:07.778,"Key Press (Typing)",2.87183,0,"Key_16777235"
2026-07-10 10:40:07.809,"Key Press (Typing)",1.28749,0,"Key_16777235"
2026-07-10 10:40:07.833,"Key Press (Typing)",3.34375,0,"Key_16777235"
2026-07-10 10:40:07.864,"Key Press (Typing)",1.33183,0,"Key_16777235"
2026-07-10 10:40:07.896,"Key Press (Typing)",2.69381,0,"Key_16777235"
2026-07-10 10:40:07.931,"Key Press (Typing)",1.7874,0,"Key_16777235"
2026-07-10 10:40:07.964,"Key Press (Typing)",2.44572,0,"Key_16777235"
2026-07-10 10:40:07.991,"Key Press (Typing)",3.80725,0,"Key_16777235"
2026-07-10 10:40:08.030,"Key Press (Typing)",1.27388,0,"Key_16777235"
2026-07-10 10:40:08.057,"Key Press (Typing)",1.93142,0,"Key_16777235"
2026-07-10 10:40:08.076,"Key Press (Typing)",0.806381,0,"Key_16777235"
2026-07-10 10:40:08.124,"Key Press (Typing)",2.75509,0,"Key_16777235"
